# From https://crystalmaker.com/support/tutorials/atomic-radii/index.html
# See Slater JC (1964) Journal of Chemical Physics 39:3199-


H 0.53
He 0.31
Li 1.67
Be 1.12
B 0.87
C 0.67
N 0.56
O 0.58
F 0.42
Ne 0.38
